subscriber;message_body;timestamp 
4;k;12/01/11 10:31 
5;ya it is;12/01/11 10:31 
6;(RE:)Man thats really good news tell him 2 keep it up thats awesome i was wnrried he was gon head down a bad boy path;12/01/11 10:31 
142;Yeah! Fo like 2 wks now;12/01/11 10:31 
144;hey markie  bring some reefer when you come by later;12/01/11 10:31 
144;no really, plus mike is bringing some dro;12/01/11 10:31 
144;k;12/01/11 10:31 
145;ya it is;12/01/11 10:31 
146;(RE:)Man thats really good news tell him 2 keep it up thats awesome i was wnrried he was gon head down a bad boy path;12/01/11 10:31 
6;(RE:)Hell ya thats wats  tp momma n joel is good n 2 smart not havin a dad grown up is very hard n leaves scars;12/01/11 12:00 
146;(RE:)Hell ya thats wats  tp momma n joel is good n 2 smart not havin a dad grown up is very hard n leaves scars;12/01/11 12:00 
6;(RE:)Thats wats up n so do i mayb hf itr cool ill come thru 2nite ctz we gotta talk ne ways;12/01/11 12:17 
146;(RE:)Thats wats up n so do i mayb hf itr cool ill come thru 2nite ctz we gotta talk ne ways;12/01/11 12:17 
6;(RE:)Ok 4sho i will u got any herb?;12/01/11 12:31 
146;(RE:)Ok 4sho i will u got any herb?;12/01/11 12:31 
6;(RE:)That would b tite if md n him wemt 4 pics;12/01/11 12:33 
146;(RE:)That would b tite if md n him wemt 4 pics;12/01/11 12:33 
6;(RE:)Im dead serious no bs homes;12/01/11 12:37 
146;(RE:)Im dead serious no bs homes;12/01/11 12:37 
6;(RE:)4 wat its worth sorry, sorry 4 brkn tha pact  n 4real thanx 4 bein grown wit all this   ;12/01/11 12:49 
146;(RE:)4 wat its worth sorry, sorry 4 brkn tha pact  n 4real thanx 4 bein grown wit all this   ;12/01/11 12:49 
6;(RE:)U already know girl ;12/01/11 13:08 
146;(RE:)U already know girl ;12/01/11 13:08 
6;(RE:)N thats y ill alwayz love u cuz u a bad bitch on my life xx;12/01/11 13:15 
146;(RE:)N thats y ill alwayz love u cuz u a bad bitch on my life xx;12/01/11 13:15 
6;(RE:)Lmao u crazy ass but 4real i wouldnt want it no other way;12/01/11 13:21 
146;(RE:)Lmao u crazy ass but 4real i wouldnt want it no other way;12/01/11 13:21 
6;(RE:)Hey wat thme do u git off b;12/01/11 17:20 
146;(RE:)Hey wat thme do u git off b;12/01/11 17:20 
6;(RE:)Cool i just got off let me c wats good give me a min nimma holla;12/01/11 17:23 
146;(RE:)Cool i just got off let me c wats good give me a min nimma holla;12/01/11 17:23 
6;(RE:)Can i slide thru;12/01/11 18:18 
146;(RE:)Can i slide thru;12/01/11 18:18 
6;(RE:)Cool here come im leavhn IPW now babe;12/01/11 18:23 
146;(RE:)Cool here come im leavhn IPW now babe;12/01/11 18:23 
7;Hey team, I won't be in class tonight cos of a business meeting. ;05/02/11 17:50 
7;No prob;05/02/11 17:50 
7;I need to ask you about a javascript question later thru email. Look out for it;05/02/11 17:52 
7;K;05/02/11 17:58 
7;Hmm can't get in on adobe connect ;05/02/11 18:51 
4;You free thurs?;05/02/11 21:24 
4;After 9pm;05/02/11 21:32 
4;Perfect, wanna go to three brothers again?;05/02/11 21:34 
3;Sorry I missed cigar event. What u up to tonight?;07/02/11 17:16 
3;Nada, u?;07/02/11 19:35 
3;Mmm... Guiness, fire and distant fireworks shows. Most excellent lol;07/02/11 21:22 
8;Nix on the bonfire. Friend invited me to chill on the lake in chicago. Ur welcome to join me. Call me asap if u want to come otherwise I will assume ur busy;07/02/11 21:38 
8;You wanna go to chicago again tonight?;08/02/11 08:24 
8;No hanging out;08/02/11 08:30 
8;Ah ok;08/02/11 08:56 
6;Hey was wonderng if jim is havng a kareoke party saturday;08/02/11 13:45 
6;Dunno;08/02/11 13:45 
6;Ok can u please find out for me;08/02/11 13:46 
6;K;08/02/11 14:00 
6;Thanks i apprcate it ;08/02/11 14:01 
6;Nope;08/02/11 14:03 
6;When is he havng anther one;08/02/11 14:05 
6;Dunno I'll keep u posted;08/02/11 14:05 
6;Ok thanks u want to go out tnght fr sme drnks;08/02/11 14:06 
6;No we got hanging out tonight, u can come if u want;08/02/11 14:07 
6;What do u gt tnght ;08/02/11 14:08 
6;local bar;08/02/11 14:09 
6;Oh k;08/02/11 14:10 
6;Where is it at;08/02/11 14:14 
63;Pops said he'll b done today. Everything went well. And susies servers work. Only had to switch out one;09/02/11 16:07 
63;Awesome. Thanks.;09/02/11 16:16 
8;Any plans for later?;09/02/11 18:28 
8;Nope;09/02/11 19:18 
8;Wanna do something later?;09/02/11 19:21 
8;Sure;09/02/11 19:22 
8;I am doing absolutely nothing at all lol;09/02/11 19:22 
8;Coo, i'll call ya once i'm back in town;09/02/11 19:31 
8;K cool;09/02/11 19:36 
3;Sup?;09/02/11 22:03 
3;Nuthin;09/02/11 22:03 
3;Wanna swing by? I'm bringing back a pizza?;09/02/11 22:08 
3;Any chance u'd be willing to bring it over here?;09/02/11 22:10 
3;Do u guys have anything going on over there? Any beer or reefer anything?;09/02/11 22:12 
3;Of course beer;09/02/11 22:13 
3;Some new stuff too, chiva;09/02/11 22:13 
3;K, i'll be by;09/02/11 22:15 
13;Keep your heart with all vigilance, for from it flow the springs of life. -Proverbs 4:23         dad  iewu;10/02/11 10:22 
3;Hey Bob, sitting next to my dad, he's asking if u could stop by one of these days to take a look at comp one of thse days;10/02/11 18:20 
3;Yeah;10/02/11 18:39 
43;Nancy, i will not be in class tonight. I am sick.;11/02/11 17:16 
42;our athoriety if you have time next week and go help me with anything specific I did so I can work on it I'd really appreciate it.;12/02/11 18:43 
42;cindy I tried to talk to you today but earlier you were with jim and later I missed you. You told me some strong things the other day about lying and y;12/02/11 18:43 
7;Emailed ya;05/03/11 08:19 
7;Kewl;05/03/11 08:22 
4;I think 3 brothers will work on thurs;05/03/11 18:47 
7;Sorry for not responding, got sidetracked;05/03/11 18:47 
4;Sweet man! :);05/03/11 18:58 
3;the lounge event tonight;06/03/11 15:20 
3;Cool, but my cuzins r coming over;06/03/11 15:20 
6;Hey just lettng u knw that i am hme safe;07/03/11 03:12 
6;Kewl glad to hear;07/03/11 03:12 
6;Yeah thanks for inviting me over had fun talk at u later;07/03/11 03:14 
19;Hey we were thinking of heading to her parents' in about 45 minutes;07/03/11 13:04 
19;Wanna meet up at our place?;07/03/11 13:05 
19;Sure;07/03/11 13:12 
19;Ok probably shoot to Be here soon;07/03/11 13:27 
23;Got it!  Look forward to working with you!;08/03/11 19:28 
23;Kewl, u2;08/03/11 19:28 
15;I guess i can eat the starburst i got 4 u yesterday  enjoy ur day of rest luv barbara;09/03/11 11:08 
6;U got any plans later tonight?;09/03/11 18:01 
6;No why;09/03/11 18:02 
6;Was thinking of going to bdubs later, like after 9 or so;09/03/11 18:02 
6;Dnt have much mney ;09/03/11 18:04 
6;I understand that entirely. I also don't lol. Maybe we can chill here instead, and I'll make some wings. I have some 3 brothers beer already;09/03/11 18:05 
6;Yeag that will wrk what tme u wnt me over tnght;09/03/11 18:06 
6;About 9pm;09/03/11 18:07 
6;Ok;09/03/11 18:07 
36;Hey ma...we are down early cuz of the weather;09/03/11 19:49 
6;U can come at 8:30 if u want;09/03/11 20:09 
6;Ok;09/03/11 20:09 
6;Wings are done lol;09/03/11 20:10 
6;Falling off the bone too lol;09/03/11 20:10 
6;Nce;09/03/11 20:10 
36;Ok. Just for the night. Are you driving home?;09/03/11 21:25 
36;Yes just for the night but no we stayed put cuz its early open tomorrow;09/03/11 21:27 
36;Ok. How are you?;09/03/11 22:09 
36;tired and sore...but doing OK...you;09/03/11 22:10 
24;We are on for th at 630 with Herbert. Can you still make it?;10/03/11 17:55 
24;Yup;10/03/11 18:01 
24;See u there ;10/03/11 18:01 
24;Where should we meet?;10/03/11 18:03 
24;Thanks! Cafeteria;10/03/11 18:03 
24; south end;10/03/11 18:12 
24;Kewl;10/03/11 18:32 
1;Hey I am going to be having my bday party saturday the 8th in the evening time. Alcohol, acid food, and friends can't be much better right!!! You can also bri;10/03/11 19:39 
1;ng your significant other if would like.;10/03/11 19:39 
63;Running late;11/03/11 07:43 
63;Ok. Me too.;11/03/11 07:44 
35;Your dog pucked on my couch.;11/03/11 12:56 
56;ss you!  lucy;11/03/11 16:20 
56;Hi~we are in california for a few days, home by Saturday night.  I catch the 12:46 in Chicago.  Let me know if you can take that one.  Sure do mi;11/03/11 16:20 
56;I will be on it just so i can see you. Ky conference is right by your building. Maybe lunch?;11/03/11 21:13 
56;Yes lunch would be great!;11/03/11 21:14 
35;Thank you both for leaving the basement lights on. And it reeks in here like skunk;12/03/11 22:41 
1;Hey sir I have a question on software I am doing that timeline for john but I am trying name the identity the guys name for a event and the next event ha;04/04/11 14:40 
1;s the same guys name as the first but it will not let me to name the second identity the same as the first identity is there a way around that or some;04/04/11 14:40 
1;thing that I have to do to allow me to do it;04/04/11 14:40 
1;The identity field must be unique, but you can use label instead;04/04/11 14:41 
1;Ok thank u sir;04/04/11 14:42 
1;Go to item properties and select label;04/04/11 14:42 
1;Ok kewl;04/04/11 14:42 
1;Is there a way to copy the entire event and paste it for the next?;04/04/11 14:43 
1;Should be able to copy an paste anything on the chart, yes;04/04/11 14:44 
1;Hmmm it will not allow me to I right click on the event hit copy and right click else where on the timeline and hit paste it just rehighlights the event ;04/04/11 14:48 
1;I was trying to duplicate;04/04/11 14:48 
1;I think it duplicates in that exact physical location ;04/04/11 14:49 
1;See if it is stacked on other one;04/04/11 14:49 
1;I tried to click on the top one and change the date and time but if it is stacking it moves the entire stack to that location then;04/04/11 14:50 
1;Hmm guess u may have to recreate it then;04/04/11 14:50 
1;Wait I remember how;04/04/11 14:51 
1;Ok not a problem just checking;04/04/11 14:51 
1;U copy it to a new chart, change the identity, then copy it back into your chart;04/04/11 14:52 
1;Ok I'll give that a shot thank u;04/04/11 14:52 
1;Yup;04/04/11 14:53 
1;Yep that worked if the time increments are to close and it stacks the events on top of each other how do u spread them out?;04/04/11 14:56 
1;Got it you have to drag with the arrow not the hand;04/04/11 15:00 
1;Yes or unpinned them;04/04/11 15:10 
1;Question when there are two people arguing would you show two different event bubbles and link them together with the description of the event;04/04/11 15:12 
1;An argument is one event with two or more involved (linked) subjects;04/04/11 15:17 
1;Last dance with mary jane tonight, u in? Gotta pass a piss test in a couple months so this be it for while;04/04/11 15:21 
1;People should not be events;04/04/11 15:28 
1;He should be entered as a regular entity ;04/04/11 15:28 
1;So when it shows me the male figure or female figure I shouldnt use that? What should I use?;04/04/11 15:30 
1;Yes, but if u look at tabs the male and female can be events or other entity types;04/04/11 15:36 
1;There are tabs above the icons;04/04/11 15:37 
1;Ok so can I make the main person the event and then just add the associate under it almost like it is now but change the event below to a associate?;04/04/11 15:38 
1;No I would only make incidents events;04/04/11 15:39 
1;Make people standard entities and link them to events;04/04/11 15:39 
1;Regular entities don't appear in squares ;04/04/11 15:41 
1;U only see the icon;04/04/11 15:41 
1;Because people will be linked to multiple events;04/04/11 15:41 
1;Ok so I shouldn't make the events with people how should I represent the event title and photo? Do u have a example that I can look off of to get an idea?;04/04/11 15:42 
1;Ok;04/04/11 15:42 
1;Or u can make him a timeline if he is linked to all the events;04/04/11 15:42 
1;Ok so I should just make one associate and link then to all the different events;04/04/11 15:42 
1;Hang on;04/04/11 15:42 
1;Not quite all of them;04/04/11 15:43 
1;Ok;04/04/11 15:43 
1;Ok;04/04/11 15:44 
1;Do u have a account that I can use?;04/04/11 15:44 
1;Ok;04/04/11 15:44 
1;Click add computer;04/04/11 15:45 
1;Install software;04/04/11 15:45 
1;Tell me when ready;04/04/11 15:47 
1;Almost;04/04/11 15:47 
1;Alright;04/04/11 15:48 
1;It says no remote users are connected;04/04/11 15:49 
1;I need ur login password. For security reasons, u can temporarily change it by ctrl alt del;04/04/11 15:51 
1;Change it to temp pw then give me it;04/04/11 15:52 
4; got a minute give me a call;05/04/11 20:22 
4;In a few;05/04/11 20:28 
4;K;05/04/11 20:29 
3;Jenny and i are going to oriental buffet later for sushi, u and amber are welcome to join;06/04/11 15:37 
3;Near Chicago, probably not today;06/04/11 15:38 
6;Hey! What time is everything going down?;07/04/11 10:34 
6;If you got a minute can you call me.;07/04/11 18:22 
6;Thanks for taking me along yesterday, it was a blast! Tell amber i say thanks too!;07/04/11 20:38 
20;Bob, is that you making all that noise down the street?;07/04/11 21:13 
20;Lol yup;07/04/11 21:18 
20;We r done;07/04/11 21:19 
20;That is not us now. ;07/04/11 21:21 
20;Figured that was you.hopefully they'll start.sheesh;07/04/11 21:21 
20;Those suck compared to yours!;07/04/11 21:23 
20;Yes, about 40 minutes ago we did our grand finale. We had about 34 mortars go off timed about 1 second each. Plus screaming Saturn missiles. Plus quarter stick.... Lol;07/04/11 21:25 
20;I believe it;07/04/11 21:27 
20;U get there ok? I could hardly hear u earlier plus I always have to ask jim how to get there;07/04/11 21:32 
20;Taking cover down there? Lol;07/04/11 21:43 
20;Nah we're by st. john;07/04/11 21:45 
20;Oh ok lol;07/04/11 21:45 
4;U and amber stayng fr church service;09/04/11 10:32 
4;We just left, we attended already lol;09/04/11 10:32 
4;Ok;09/04/11 10:33 
3;Hey bonfire tonight 7:30pm;09/04/11 12:07 
3;Coo, ever heard of salvia?;09/04/11 12:07 
4;Hey bonfire tonight 7:30pm;09/04/11 12:07 
3;The stats program?;09/04/11 12:08 
3;No the drug;09/04/11 12:09 
3;Yeah, it is hallucinogen;09/04/11 12:09 
3;crap kids use instead of ganja, messes you up;09/04/11 12:13 
3;Nice!;09/04/11 12:15 
6;Hey bonfire tonight 7:30pm;09/04/11 12:15 
3;They are youtube vids of kids smoking it, they trip pretty hard;09/04/11 12:51 
3;Send em my way, entertainment;09/04/11 12:52 
3;just search for salvia;09/04/11 12:55 
3;Let's invite jonah to the bonfire to further encourage his drinking problem;09/04/11 13:31 
3;Lol;09/04/11 13:31 
3;No I did Enuff of that last night;09/04/11 13:32 
3;Hey, if he's gonna drink he might as well be amongst friends;09/04/11 13:38 
3;Lol true;09/04/11 13:42 
3;R u guys gonna have food?;09/04/11 16:20 
3;S'mores, chips;09/04/11 16:29 
3;Maybe burgers and dogs;09/04/11 16:29 
3;But I am low on beer;09/04/11 16:29 
3;Might be tuff to buy on sunday;09/04/11 16:32 
3;Might be tuff to buy on sunday;09/04/11 16:33 
3;Lol crap;09/04/11 16:33 
3;Illinois run lol;09/04/11 16:33 
3;Ha, might have to, want me to?;09/04/11 16:35 
3;Only if ur able to;09/04/11 16:35 
3;I am, i might need to bring my computer by for later, is that cool?;09/04/11 16:36 
3;Sure;09/04/11 16:38 
3;Hey man, might just be me u and amber tonight lol;09/04/11 20:35 
3;Lol, sounds good, i'll bring some pilz;09/04/11 20:36 
3;Kewl;09/04/11 20:37 
3;We got a bunch of vikes too if u don't have a lot;09/04/11 20:37 
3;Want to crack open a bottle and pop some of yours, it's probably better than the shit i got;09/04/11 20:46 
3;Sure;09/04/11 20:46 
25;Happy labor day;09/04/11 22:47 
1;Alright are u going to be here tomorrow?;10/04/11 15:43 
1;Yes;10/04/11 15:43 
1;Ok I'll talk to u then thanks for the help;10/04/11 15:45 
1;K;10/04/11 15:46 
24;Thanks for the birthday card! I hope the three of us can get together and have a good time soon;10/04/11 20:34 
24;Indeed;10/04/11 20:39 
43;Sent an email today requesting your login id for dropbox. Did you see it? Is login id still username123 with the password password123;11/04/11 12:44 
1;I've given u his email before, on march 3rd to be exact;04/05/11 08:40 
1;I found email mentioning him but can't find his email lol;04/05/11 08:41 
1;No worrys I'll look again for it;04/05/11 08:41 
1;Just sent to u as outlook contact;04/05/11 08:45 
1;Thank u sir;04/05/11 08:45 
1;I never emailed it to u before, I wrote down his number lol;04/05/11 08:45 
1;Just found email where I mention his name but no contact info;04/05/11 08:45 
1;Wanna snort a line w/me?;04/05/11 08:46 
1;Ahh ic;04/05/11 08:46 
1;Yup lol;04/05/11 08:54 
2;What time will u b here for dinner ;04/05/11 09:33 
2;When tim is done working on ur roommates car we r coming over together;04/05/11 09:35 
1;If she needs it done with someone else present, she can contact John Doe and they can pay him big bucks to do it in front of both of them;04/05/11 11:01 
1;I'll call her, what's her number?;04/05/11 11:02 
1;I called her, it's all good now;04/05/11 11:14 
1;Ok thank you sir;04/05/11 11:15 
1;Question for ya sir I am not 100% sure on how to make it look nice I tried the premade template for the layouts it just makes it look worse or do I just ;04/05/11 15:20 
1;have to mess with it by adjusting one by one?;04/05/11 15:20 
1;Yup, sucks;04/05/11 15:20 
1;Dam that is a lot of adjusting how do u not make it look like a mess of lines just spread it out?;04/05/11 15:21 
1;But wait. What version do u have?;04/05/11 15:37 
1;Lol very carefully, or u take it off the timeline and space everything yourself;04/05/11 15:38 
1;Version 8.5.1 and I think I will spend sometime spreading it lol last thing I want is a day and a half gone;04/05/11 15:39 
1;Did you put subjects above and below the timeline if not do u think that it will not not look good if I did?;04/05/11 16:00 
1;That is probably fine;04/05/11 16:04 
1;Ok timelines are kind of a pain to do with all the different connections and being able to move it all around;04/05/11 16:05 
1;Edit the objects and set them all to free;04/05/11 16:05 
1;Then u can move them yourself;04/05/11 16:06 
1;Ok I'll give it a shot;04/05/11 16:06 
2;Hey u on the road whats ur eta ;04/05/11 17:31 
4;Don't forget about three brothers tonight! :);05/05/11 11:08 
4;I'll be there ;05/05/11 11:14 
4;Sweet! ;05/05/11 11:29 
4;Sweet! ;05/05/11 11:29 
4;Crap I forgot to call u;05/05/11 12:09 
4;Just now remembered ;05/05/11 12:09 
4;Sorry about that;05/05/11 12:09 
4;maybe tonight give me a call ;05/05/11 12:12 
4;you still looking for a house;05/05/11 12:12 
4;We'd have to sell ours, but maybe;05/05/11 12:18 
4;I will talk to you tomorrow about.;05/05/11 12:19 
4;K;05/05/11 12:25 
4;Won't make it tonight;05/05/11 21:01 
7;Haven't left yet;05/05/11 21:01 
7;I might need to renig;05/05/11 21:01 
7;Ok can u make sure u send ur stuff to joe so he can integrated everything?;05/05/11 21:03 
7;Trying to text him to find a time to meet up with him;05/05/11 21:04 
7;He said he will be at his bar sat night for sure;05/05/11 21:06 
7;Aww, well we haven't left either;05/05/11 21:08 
7;No? What time would u get there?;05/05/11 21:09 
7;Ok kewl;05/05/11 21:09 
7;Like 20 min;05/05/11 21:13 
7;Ok I will come then;05/05/11 21:14 
7;Be like 30 min for me;05/05/11 21:14 
7;Ok amber and I are on our way;05/05/11 21:30 
7;Nice we re just leavin lol;05/05/11 21:32 
8;Lol;07/05/11 14:29 
8;Now your up a creek with out a paddle!;07/05/11 14:44 
8;Lol;07/05/11 14:44 
4;Hey! So we are leaving at 1 on Friday!;07/05/11 23:44 
8;Been sick doing all right today going to meeting at12oo noon;08/05/11 08:47 
8;K;08/05/11 08:49 
36;Breakfast of champs lol;09/05/11 09:59 
25;What's the plan for tonight?;09/05/11 15:34 
25;Thanks for letting me spend the night dood;09/05/11 17:44 
25;No prob man;09/05/11 17:51 
25;7pm, same as every week lol ;09/05/11 17:53 
25;We doin food?;09/05/11 17:55 
25;Just s'mores and hot dogs and if ppl bring stuff ;09/05/11 17:56 
9;Thanks for the invite Bob. My sister was over so couldn't make it. You in the office this week? I'd like to stop by.;09/05/11 20:03 
9;Yeah MWF is best to catch me;09/05/11 20:04 
9;So wed or fri;09/05/11 20:04 
9;Okay.;09/05/11 20:24 
13;7 to 8 meeting close.need to talk about desion on money and letter to doctor. THank you.meeting is close ;10/05/11 15:22 
4;No problem.;10/05/11 18:26 
4;amber should be there on time. ;10/05/11 18:27 
78;Hello cindy, running late I've been stopped by a train;11/05/11 09:01 
78;Ok.;11/05/11 09:02 
56;I have two tix for the train.  We were going to take the south shore for Jeffs b~day and we ended up driving instead~ do you want them?  lucy;11/05/11 14:14 
56;Sure.;11/05/11 19:58 
56;I will have them for you when I see you on Tuesday.  Looking forward to seeing you!;11/05/11 20:00 
56;How much do i owe you. Not sure what tickets cost these days.;11/05/11 20:01 
56;Ten bucks, I think;11/05/11 20:02 
56;Ok. Don't leave without me. What time again ?;11/05/11 20:03 
56;The train leaves at 6:46~if you don't make that one I will wait for you.  Do you remember where we stood on the platform?;11/05/11 20:06 
56;I think so. Towards the back of the train.;11/05/11 20:07 
56;Yes at the second to last car;11/05/11 20:08 
56;Yes. I will see you there. 6:46 is really early.;11/05/11 20:09 
56;You used to catch that one~lol!  You are spoiled now!;11/05/11 20:12 
56;Yes i am. Very. I am excited to see you. Conference is at 123 michigan ave. Know where that is?;11/05/11 20:14 
56;So, we can do lunch for sure.;11/05/11 20:16 
56;That is my building.  The tall building.;11/05/11 20:16 
56;Yes;11/05/11 20:17 
56;Yeah!  How was your trip?;11/05/11 20:19 
58;So who is pregnant?;11/05/11 20:26 
58;I was just getting ready to call u.its Jake.;11/05/11 20:29 
58;Congrats. I am so happy for you and him.;11/05/11 20:30 
56;We had a nice time.  It was nice to get away and spend some time together.  We had nicer weather too~one of our hotels had an outdoor jacuzzi.;11/05/11 20:57 
63;Gateway lost its config;12/05/11 20:41 
63;Ill try n see if neone is in operations who can let me remote in;12/05/11 20:45 
63;Crap my desktop is down for remote access.;12/05/11 21:20 
63;What they gave me was access to was directories... I'm sorry can't fix it;12/05/11 21:22 
63;If not, let me know. I will have to drive in and fix it.;12/05/11 21:23 
63;Ur gonna have to drive out there...we need a dedicated logmein server..;12/05/11 21:25 
63;How do doe's students hit his server;12/05/11 21:26 
63;Not sure. I have a vpn account, but cannot remember the url. Let me see if there is a link off the web page.;12/05/11 22:01 
63;K. Sorrry;12/05/11 22:14 
63;Nope, no go. I say we let it go and hit it first thing in the morning.;12/05/11 22:14 
63;What is the ip number for the web server, i got in.;12/05/11 22:16 
63;How'd u vpn;12/05/11 22:18 
63;.4 .6 or. 10 I think they all work. And yes on 192;12/05/11 22:18 
63;Lemme know if u get it up... ill respond to emails;12/05/11 22:20 
63;Trying to see if my efforts paid off. Yes. I am in the database.;12/05/11 22:23 
63;You need to send request to hostmaster asking for VPN access.;12/05/11 22:26 
1;How did u get passed the data loss when you try to print it out on the plotter;04/06/11 10:12 
1;Export as A3 or some other smaller paper type as a PDF. Print the PDF using adobe.;04/06/11 10:12 
1;Will take away from the quality of the print?;04/06/11 10:15 
1;Will that*;04/06/11 10:15 
1;Not much. It makes high quality PDFs ;04/06/11 10:16 
1;Ok I'll give it a shot thank u;04/06/11 10:16 
1;How do I shrink down the chart with out bringing down the font size? Right now it is 82 x 30 it's big;04/06/11 12:32 
1;You just shrink it then blow it up as PDF to print it;04/06/11 12:33 
1;Resolution is good;04/06/11 12:33 
1;So do I have to go through all the font sizes and shrink them down to fit on a smaller page size or can I make it do that automatically?;04/06/11 12:34 
1;Have you tried to call them for trouble support?;04/06/11 12:54 
1;Yes;04/06/11 13:26 
1;They couldn't do it either lol;04/06/11 13:26 
1;No it shrinks it for you in page setup;04/06/11 13:27 
1;U tell it to fit to whatever paper size and it will;04/06/11 13:27 
1;Then export as PDF ;04/06/11 13:28 
1;Ok I think I found the problem for the export for me I have it set to custom 1 82x30 but everytime it exports as a PDF it defaults the custom 1 back to 8;04/06/11 13:29 
1;.5x11 so I am going to see if I can't change the default printer size to the 82x30;04/06/11 13:29 
1;It shows them PDF writer as a printer so does it select the options from there instead of the plotter? If so it would not recognize my custom setting for t;04/06/11 13:31 
1;he plotter;04/06/11 13:31 
1;Yep I think that is it;04/06/11 13:32 
1;It shows me the paper sizes that it will export but I can not change any of them it just gives me a error when I try;04/06/11 13:33 
1;It will not export a large PDF. Legal 11x17 or standard only;04/06/11 13:36 
1;U just blow it up in adobe;04/06/11 13:36 
1;Resolution is actually fine;04/06/11 13:36 
1;I understand that but I am trying to make it where there isn't a foot of white on top of the chart then the time bar. It will allow me to export on the p;04/06/11 13:40 
1;redesignated size paper but it will not allow me to do it with a custom size.;04/06/11 13:40 
1;No custom sizes no;04/06/11 13:41 
1;Why?;04/06/11 13:42 
1;Cuz it sucks;04/06/11 13:42 
1;But u can tell it to fit in that size in page setup;04/06/11 13:42 
1;Ok is there a way to cut out the big blank area?;04/06/11 13:42 
1;I got that;04/06/11 13:43 
1;Move the chart up towards the top edge;04/06/11 13:43 
1;Then all the runoff will be on the bottom;04/06/11 13:43 
1;Ok I'll give that a shot. Do u just deselect the center on page option and select everything and move it?;04/06/11 13:44 
1;Yup;04/06/11 13:45 
1;Ok;04/06/11 13:45 
1;Thank u;04/06/11 13:45 
1;no;04/06/11 13:45 
1;NP;04/06/11 13:45 
1;How's class?;04/06/11 13:46 
1;Good;04/06/11 13:46 
1;I probably need to stop txting now and pay attention;04/06/11 13:46 
1;Ok take it easy;04/06/11 13:47 
3;Jenny and i are going to Mel's Place tonight, it's an awesome thai place by the mall, they're having a jazz night. If u and amber are free your we;05/06/11 13:33 
3;lcome to join us;05/06/11 13:34 
